transaction_id,customer_id,product_id,amount,quantity,transaction_date,channel
T06377,C0315,P083,995.21,5,2021-01-16,Online
T03073,C0070,P034,778.81,3,2021-01-16,Offline
T02035,C0001,P008,1062.62,2,2021-01-16,Online
T01664,C0280,P058,145.72,1,2021-01-16,Mobile
T06273,C0066,P029,1807.61,9,2021-01-16,Online
T02824,C0446,P065,730.73,2,2021-01-16,Mobile
T00484,C0077,P031,888.75,4,2021-01-16,Offline
T00384,C0367,P081,817.47,5,2021-01-16,Offline
T03977,C0167,P099,750.73,4,2021-01-17,Offline
T05170,C0201,P056,872.63,9,2021-01-17,Offline
T02804,C0003,P019,2421.37,10,2021-01-17,Online
T07726,C0076,P030,1022.13,6,2021-01-17,Offline
T04366,C0024,P036,1207.73,10,2021-01-17,Offline
T07830,C0183,P031,1662.48,9,2021-01-17,Online
T00869,C0258,P076,1245.35,9,2021-01-17,Offline
T07221,C0456,P099,1778.29,4,2021-01-17,Online
T01858,C0500,P080,1075.69,2,2021-01-17,Offline
T01106,C0481,P032,1978.75,7,2021-01-17,Online
T05109,C0234,P033,512.52,5,2021-01-17,Online
T07083,C0474,P077,193.1,2,2021-01-18,Offline
T04267,C0434,P084,86.88,5,2021-01-18,Offline
T05453,C0459,P003,894.5,5,2021-01-18,Mobile
T04354,C0408,P042,314.7,6,2021-01-18,Offline
T07287,C0285,P006,2799.12,7,2021-01-18,Online
T05636,C0326,P049,142.71,6,2021-01-18,Offline
T06481,C0433,P050,868.88,3,2021-01-18,Offline
T06391,C0183,P049,909.37,9,2021-01-18,Offline
T01696,C0291,P096,867.16,2,2021-01-18,Offline
T05628,C0104,P014,1654.63,9,2021-01-19,Mobile
T06104,C0294,P091,1021.55,4,2021-01-19,Online
T03629,C0200,P068,2497.25,10,2021-01-19,Online
T04596,C0027,P051,2342.68,5,2021-01-19,Offline
T03766,C0456,P021,702.08,5,2021-01-19,Online
T02924,C0241,P034,1570.05,4,2021-01-19,Offline
T04465,C0354,P014,3579.16,4,2021-01-19,Offline
T03087,C0299,P027,594.96,5,2021-01-20,Mobile
T03210,C0015,P100,650.26,4,2021-01-20,Offline
T00094,C0037,P092,634.09,7,2021-01-21,Online
T01417,C0342,P096,2053.62,6,2021-01-21,Mobile
T02206,C0471,P032,630.24,2,2021-01-21,Online
T03496,C0454,P067,2077.12,6,2021-01-21,Mobile
T04555,C0477,P082,880.43,5,2021-01-21,Online
T03290,C0148,P039,864.63,5,2021-01-21,Online
T03941,C0391,P083,541.29,1,2021-01-21,Offline
T03479,C0422,P085,3108.67,9,2021-01-22,Mobile
T01453,C0349,P060,189.37,8,2021-01-22,Offline
T00205,C0237,P060,1356.07,2,2021-01-23,Online
T00563,C0474,P093,886.82,2,2021-01-23,Online
T01376,C0134,P019,682.87,9,2021-01-23,Online
T07077,C0133,P091,382.38,2,2021-01-23,Offline
T00879,C0099,P003,1254.73,5,2021-01-23,Mobile
T04512,C0333,P067,487.79,4,2021-01-23,Offline
T00736,C0032,P085,171.96,1,2021-01-23,Mobile
T02939,C0464,P077,2941.56,3,2021-01-24,Offline
T01953,C0290,P025,375.19,4,2021-01-24,Mobile
T00865,C0081,P065,1597.9,6,2021-01-24,Mobile
T03048,C0325,P071,429.51,8,2021-01-24,Offline
T07404,C0327,P043,2423.36,3,2021-01-24,Mobile
T05294,C0225,P037,2000.87,8,2021-01-25,Offline
T07844,C0446,P090,850.01,8,2021-01-25,Offline
T04911,C0177,P030,3447.54,9,2021-01-25,Offline
T00281,C0247,P075,1072.27,9,2021-01-25,Online
T02645,C0067,P079,1272.1,5,2021-01-25,Online
T06408,C0327,P054,2117.53,4,2021-01-26,Mobile
T03216,C0008,P017,322.74,5,2021-01-26,Online
T00411,C0228,P079,1368.34,8,2021-01-26,Online
T00881,C0481,P069,409.01,2,2021-01-27,Mobile
T00743,C0245,P033,628.83,3,2021-01-27,Offline
T06782,C0069,P052,2518.35,9,2021-01-27,Mobile
T05577,C0096,P071,561.84,5,2021-01-27,Online
T03605,C0465,P054,847.6,3,2021-01-27,Online
T00703,C0081,P025,1582.43,6,2021-01-27,Offline
T06036,C0219,P089,559.49,5,2021-01-28,Online
T05521,C0469,P054,1075.2,2,2021-01-28,Mobile
T03859,C0369,P033,2537.83,2,2021-01-28,Online
T03621,C0283,P096,596.27,7,2021-01-28,Offline
T04600,C0185,P020,362.74,7,2021-01-28,Online
T04294,C0489,P097,1738.91,5,2021-01-28,Offline
T05165,C0234,P085,612.87,2,2021-01-28,Offline
T00265,C0276,P034,753.92,2,2021-01-28,Offline
T00428,C0428,P043,508.99,10,2021-01-28,Online
T04347,C0270,P068,289.87,1,2021-01-28,Online
T07430,C0225,P085,2066.6,6,2021-01-28,Online
T02758,C0024,P037,1567.46,1,2021-01-29,Offline
T03349,C0260,P095,2014.95,8,2021-01-29,Mobile
T00061,C0245,P015,2317.61,9,2021-01-29,Mobile
T03522,C0377,P068,1822.49,7,2021-01-29,Online
T05090,C0309,P033,351.67,10,2021-01-29,Offline
T04610,C0113,P010,2624.57,9,2021-01-29,Online
T07411,C0043,P052,94.15,1,2021-01-29,Online
T07633,C0492,P092,1431.12,10,2021-01-29,Offline
T04819,C0489,P053,1445.24,10,2021-01-29,Offline
T02031,C0023,P096,403.83,3,2021-01-30,Offline
T01444,C0167,P050,906.75,3,2021-01-30,Mobile
T01176,C0192,P010,1862.44,7,2021-01-31,Offline
T06012,C0250,P035,797.85,8,2021-01-31,Mobile
T04121,C0385,P071,1007.1,3,2021-01-31,Mobile
T07515,C0429,P089,1195.03,1,2021-01-31,Online
T06546,C0089,P081,579.66,8,2021-01-31,Mobile
T01525,C0107,P033,45.66,10,2021-01-31,Offline
T01937,C0025,P006,1305.57,4,2021-01-31,Online
T02936,C0482,P077,3257.72,4,2021-01-31,Mobile
T01677,C0075,P084,858.97,4,2021-01-31,Mobile
T03602,C0107,P045,728.81,3,2021-01-31,Offline
T00807,C0378,P079,1807.07,6,2021-02-01,Mobile
T01651,C0436,P003,1213.81,3,2021-02-01,Offline
T01195,C0295,P059,1309.83,8,2021-02-01,Mobile
T04346,C0115,P019,343.47,3,2021-02-01,Online
T02095,C0224,P055,2565.93,10,2021-02-01,Offline
T01838,C0238,P085,443.52,9,2021-02-01,Offline
T05482,C0015,P002,573.71,7,2021-02-01,Offline
T07529,C0068,P026,2505.29,8,2021-02-01,Online
T02370,C0075,P094,506.8,9,2021-02-01,Online
T07579,C0338,P094,2098.11,3,2021-02-01,Mobile
T05910,C0024,P093,399.89,4,2021-02-01,Mobile
T05573,C0031,P081,1602.87,3,2021-02-01,Online
T05102,C0343,P031,3827.92,8,2021-02-02,Online
T04997,C0258,P034,223.26,8,2021-02-02,Online
T03763,C0040,P016,1618.0,7,2021-02-02,Mobile
T06757,C0162,P057,1239.37,10,2021-02-02,Offline
T00447,C0170,P010,1371.97,7,2021-02-02,Offline
T07606,C0334,P011,222.94,2,2021-02-02,Mobile
T03271,C0316,P079,1339.08,8,2021-02-02,Offline
T07875,C0330,P024,997.52,4,2021-02-02,Offline
T00007,C0049,P085,1987.97,8,2021-02-03,Online
T07170,C0490,P056,745.39,2,2021-02-03,Online
T03765,C0432,P015,207.62,9,2021-02-03,Mobile
T03040,C0110,P035,997.9,3,2021-02-03,Offline
T06732,C0163,P040,1040.34,6,2021-02-03,Online
T01340,C0234,P027,298.87,5,2021-02-03,Offline
T03871,C0279,P025,1748.42,10,2021-02-03,Online
T03374,C0271,P071,1107.18,1,2021-02-03,Mobile
T07887,C0031,P075,283.84,8,2021-02-04,Online
T00038,C0021,P020,837.81,9,2021-02-04,Offline
T02443,C0435,P064,1472.95,2,2021-02-04,Online
T03913,C0030,P046,1260.99,9,2021-02-04,Online
T07907,C0384,P008,1760.47,10,2021-02-05,Online
T06675,C0460,P014,1425.29,4,2021-02-05,Offline
T04425,C0362,P035,435.55,7,2021-02-05,Offline
T00914,C0378,P100,326.91,2,2021-02-05,Mobile
T00301,C0202,P079,491.59,9,2021-02-05,Mobile
T00813,C0346,P076,2910.13,5,2021-02-06,Offline
T01822,C0466,P088,341.17,6,2021-02-06,Mobile
T01784,C0201,P064,953.76,2,2021-02-06,Online
T01977,C0109,P087,205.79,5,2021-02-06,Offline
T07070,C0328,P002,219.37,7,2021-02-06,Offline
T07438,C0485,P008,3216.35,8,2021-02-07,Online
T02738,C0385,P077,1347.27,6,2021-02-07,Offline
T00092,C0404,P004,895.24,7,2021-02-07,Mobile
T01577,C0220,P041,2549.93,8,2021-02-07,Online
T04018,C0110,P062,126.29,9,2021-02-07,Mobile
T06701,C0218,P006,1070.65,7,2021-02-07,Offline
T01730,C0236,P042,1784.34,7,2021-02-07,Mobile
T07567,C0364,P013,1016.15,10,2021-02-07,Online
T01608,C0311,P087,449.46,6,2021-02-08,Online
T03029,C0500,P079,566.47,4,2021-02-08,Mobile
T00298,C0389,P033,626.12,3,2021-02-08,Online
T01826,C0081,P018,597.59,6,2021-02-08,Offline
T02580,C0008,P081,987.04,7,2021-02-08,Online
T02666,C0028,P091,1568.47,10,2021-02-08,Offline
T02003,C0324,P093,202.67,3,2021-02-08,Online
T04569,C0439,P006,478.63,3,2021-02-09,Mobile
T00567,C0070,P046,1405.19,4,2021-02-09,Online
T02143,C0377,P006,409.44,6,2021-02-09,Offline
T07340,C0425,P045,498.27,9,2021-02-09,Mobile
T02068,C0345,P083,382.41,2,2021-02-09,Offline
T03242,C0106,P018,2303.76,4,2021-02-10,Offline
T02905,C0261,P006,1508.46,7,2021-02-10,Offline
T06084,C0059,P020,2023.49,2,2021-02-10,Online
T04992,C0060,P065,1593.63,10,2021-02-10,Offline
T00757,C0275,P100,2568.38,5,2021-02-10,Online
T04047,C0120,P047,1075.21,7,2021-02-10,Online
T00237,C0458,P087,628.29,8,2021-02-10,Online
T04448,C0427,P044,780.01,5,2021-02-11,Offline
T06707,C0212,P022,850.07,7,2021-02-11,Offline
T06570,C0448,P057,575.09,4,2021-02-11,Mobile
T00060,C0323,P038,2146.67,8,2021-02-11,Mobile
T01991,C0170,P075,498.39,6,2021-02-11,Offline
T03275,C0299,P079,1068.48,8,2021-02-11,Online
T00973,C0401,P043,688.09,7,2021-02-11,Offline
T04995,C0038,P049,447.78,5,2021-02-11,Offline
T07822,C0011,P002,205.67,3,2021-02-12,Offline
T06564,C0076,P021,601.62,3,2021-02-12,Online
T00808,C0305,P007,1630.01,9,2021-02-12,Online
T04733,C0397,P008,468.76,2,2021-02-12,Offline
T05660,C0122,P014,337.67,3,2021-02-13,Online
T03677,C0349,P026,1136.59,3,2021-02-13,Online
T06980,C0222,P043,597.04,9,2021-02-13,Offline
T04345,C0102,P060,1900.52,8,2021-02-13,Offline
T06609,C0034,P061,950.81,9,2021-02-13,Offline
T00556,C0146,P030,489.28,2,2021-02-13,Offline
T05701,C0347,P004,1542.41,7,2021-02-13,Online
T04007,C0092,P042,463.45,7,2021-02-13,Offline
T04187,C0225,P002,1120.82,6,2021-02-14,Offline
T07811,C0385,P047,1423.59,3,2021-02-14,Offline
T02641,C0036,P016,781.24,9,2021-02-14,Online
T00244,C0016,P073,557.05,4,2021-02-15,Online
T07956,C0242,P065,1625.17,10,2021-02-15,Mobile
T06958,C0167,P099,629.26,10,2021-02-15,Online
T00773,C0076,P009,1294.86,10,2021-02-15,Offline
T02336,C0410,P019,415.02,6,2021-02-15,Online
T01581,C0257,P011,654.12,4,2021-02-15,Online
T04092,C0009,P032,84.42,10,2021-02-15,Online
T01007,C0422,P077,845.79,9,2021-02-15,Offline
T01743,C0357,P020,844.5,4,2021-02-15,Mobile
T04716,C0132,P003,288.0,10,2021-02-16,Offline
T01459,C0217,P071,830.44,2,2021-02-16,Mobile
T00300,C0464,P074,3072.63,10,2021-02-16,Online
T03682,C0194,P066,1327.54,5,2021-02-16,Offline
T01512,C0466,P073,293.21,5,2021-02-16,Mobile
T06946,C0025,P072,1092.48,6,2021-02-16,Offline
T07592,C0054,P013,741.3,3,2021-02-17,Online
T06662,C0421,P016,655.7,2,2021-02-17,Offline
T03268,C0434,P007,215.05,3,2021-02-17,Offline
T03016,C0210,P022,785.2,9,2021-02-17,Offline
T02543,C0488,P098,182.23,5,2021-02-17,Mobile
T04854,C0358,P028,965.96,1,2021-02-17,Mobile
T03539,C0389,P068,683.95,9,2021-02-18,Mobile
T05489,C0305,P054,751.17,2,2021-02-18,Online
T03042,C0367,P072,570.18,8,2021-02-18,Offline
T01742,C0159,P047,1485.98,4,2021-02-18,Mobile
T00451,C0411,P017,892.82,9,2021-02-18,Online
T00471,C0166,P022,657.55,1,2021-02-19,Mobile
T07904,C0260,P056,2938.79,2,2021-02-19,Online
T02219,C0105,P042,352.51,3,2021-02-19,Mobile
T05149,C0108,P049,176.16,2,2021-02-19,Mobile
T03392,C0060,P092,1147.17,2,2021-02-19,Offline
T01634,C0241,P086,1852.66,3,2021-02-19,Offline
T03167,C0480,P072,335.28,6,2021-02-19,Mobile
T07244,C0070,P003,1310.0,7,2021-02-19,Online
T04288,C0481,P090,264.17,7,2021-02-19,Offline
T03703,C0017,P090,353.29,6,2021-02-20,Mobile
T02871,C0124,P020,1818.03,4,2021-02-20,Online
T03499,C0438,P066,1077.18,6,2021-02-20,Mobile
T00665,C0409,P099,1836.62,3,2021-02-20,Offline
T05952,C0350,P056,828.57,9,2021-02-20,Offline
T02612,C0337,P080,359.9,4,2021-02-20,Offline
T06071,C0028,P032,452.28,4,2021-02-21,Offline
T03982,C0284,P002,1331.05,3,2021-02-21,Online
T02459,C0437,P033,445.5,9,2021-02-21,Offline
T05509,C0452,P013,630.98,9,2021-02-21,Offline
T07774,C0342,P029,745.97,3,2021-02-21,Offline
T02131,C0056,P069,574.33,9,2021-02-21,Mobile
T00262,C0256,P025,337.34,7,2021-02-21,Online
T06895,C0089,P091,1581.91,7,2021-02-21,Mobile
T02008,C0030,P054,1415.41,5,2021-02-21,Mobile
T04944,C0182,P066,2043.18,5,2021-02-22,Online
T01351,C0164,P045,772.16,10,2021-02-22,Offline
T03673,C0216,P077,843.99,6,2021-02-22,Mobile
T00260,C0259,P076,427.79,6,2021-02-22,Online
T06097,C0275,P084,711.61,4,2021-02-22,Online
T06576,C0018,P007,799.42,7,2021-02-22,Offline
T01302,C0134,P099,581.17,2,2021-02-22,Mobile
T06423,C0138,P095,395.13,1,2021-02-23,Offline
T07353,C0483,P031,526.48,3,2021-02-23,Offline
T07667,C0154,P032,832.88,9,2021-02-23,Mobile
T06187,C0482,P030,401.37,3,2021-02-23,Offline
T03525,C0252,P071,349.21,8,2021-02-23,Offline
T07143,C0070,P051,844.05,7,2021-02-23,Offline
T05299,C0142,P008,898.88,2,2021-02-24,Online
T03129,C0001,P070,3402.71,4,2021-02-24,Online
T06791,C0025,P084,852.63,1,2021-02-24,Mobile
T07644,C0180,P097,1166.27,5,2021-02-24,Offline
T06105,C0386,P063,1034.31,10,2021-02-24,Offline
T01955,C0387,P029,460.12,8,2021-02-24,Online
T01190,C0475,P099,364.54,9,2021-02-24,Online
T01888,C0347,P075,2248.7,7,2021-02-25,Online
T05239,C0222,P056,2939.82,7,2021-02-25,Online
T02690,C0138,P004,840.25,10,2021-02-25,Online
T05955,C0362,P081,133.43,4,2021-02-25,Offline
T06392,C0264,P048,421.29,8,2021-02-25,Offline
T00231,C0422,P011,189.86,7,2021-02-25,Offline
T03999,C0471,P015,704.9,4,2021-02-26,Mobile
T07767,C0019,P084,1696.85,6,2021-02-26,Online
T07057,C0141,P065,264.18,5,2021-02-26,Online
T06822,C0224,P028,433.81,3,2021-02-26,Offline
T06903,C0276,P019,307.85,4,2021-02-26,Online
T04852,C0352,P047,760.2,7,2021-02-27,Online
T07530,C0436,P085,477.1,8,2021-02-27,Online
T01752,C0064,P041,377.5,6,2021-02-27,Online
T01114,C0109,P017,1810.63,1,2021-02-27,Offline
T02326,C0331,P089,547.02,6,2021-02-27,Offline
T06434,C0310,P015,1188.35,8,2021-02-27,Online
T01066,C0459,P005,387.45,6,2021-02-28,Online
T04682,C0092,P069,767.59,6,2021-02-28,Mobile
T02741,C0114,P055,653.84,10,2021-02-28,Online
T00033,C0315,P028,416.88,9,2021-02-28,Online
T06803,C0472,P067,1156.34,2,2021-02-28,Offline
T01018,C0092,P052,596.52,7,2021-02-28,Online
T04320,C0186,P021,380.49,2,2021-02-28,Online
T01684,C0233,P057,1935.67,7,2021-02-28,Offline
T06142,C0245,P086,1257.25,1,2021-03-01,Offline
T05115,C0094,P052,307.09,10,2021-03-01,Offline
T05784,C0297,P031,1423.07,2,2021-03-01,Offline
T07996,C0104,P080,123.96,8,2021-03-01,Mobile
T05297,C0231,P093,251.67,5,2021-03-02,Mobile
T02732,C0410,P028,964.69,1,2021-03-02,Online
T03109,C0345,P020,602.6,4,2021-03-02,Online
T05540,C0253,P017,266.1,10,2021-03-02,Online
T07195,C0244,P042,3910.72,10,2021-03-03,Mobile
T06552,C0390,P088,596.51,4,2021-03-03,Online
T01281,C0310,P041,998.41,4,2021-03-03,Offline
T07898,C0285,P005,1300.43,2,2021-03-03,Mobile
T03092,C0055,P047,774.15,3,2021-03-03,Offline
T00898,C0169,P049,287.09,2,2021-03-03,Online
T03675,C0274,P044,399.47,7,2021-03-03,Offline
T00332,C0307,P089,482.98,1,2021-03-03,Online
T05876,C0365,P073,1255.37,6,2021-03-03,Online
T02020,C0382,P023,1024.48,10,2021-03-04,Offline
T05524,C0001,P018,1116.53,5,2021-03-04,Mobile
T06580,C0106,P035,2052.24,9,2021-03-04,Offline
T03036,C0492,P008,2564.74,9,2021-03-04,Online
T04391,C0293,P053,2017.56,10,2021-03-04,Offline
T02932,C0027,P004,429.32,7,2021-03-04,Offline
T06608,C0239,P097,2578.77,7,2021-03-04,Mobile
T03942,C0264,P071,1930.42,10,2021-03-05,Offline
T04268,C0383,P061,1948.11,4,2021-03-05,Mobile
T06232,C0132,P040,505.02,6,2021-03-05,Mobile
T01009,C0027,P028,1342.6,7,2021-03-05,Online
T05765,C0486,P087,1594.65,5,2021-03-05,Offline
T04265,C0390,P070,484.68,6,2021-03-05,Online
T02839,C0184,P030,614.63,10,2021-03-06,Offline
T00361,C0490,P051,945.85,2,2021-03-06,Online
T04931,C0068,P050,514.28,6,2021-03-06,Online
T05513,C0443,P005,735.2,5,2021-03-06,Online
T00306,C0106,P059,405.87,4,2021-03-06,Offline
T05576,C0162,P027,1069.84,9,2021-03-06,Mobile
T05396,C0440,P095,379.31,1,2021-03-06,Mobile
T01136,C0289,P079,1357.51,5,2021-03-07,Offline
T05483,C0336,P062,874.71,10,2021-03-07,Offline
T04417,C0363,P094,3736.77,9,2021-03-07,Online
T03067,C0442,P042,1588.53,7,2021-03-07,Mobile
T04232,C0330,P061,1292.57,8,2021-03-07,Mobile
T05581,C0419,P080,277.9,4,2021-03-07,Mobile
T07974,C0142,P062,385.1,4,2021-03-07,Mobile
T00489,C0348,P044,1993.29,5,2021-03-07,Offline
T07512,C0139,P084,800.97,8,2021-03-07,Online
T06710,C0403,P048,1438.76,7,2021-03-07,Offline
T06812,C0207,P063,351.25,7,2021-03-08,Offline
T02377,C0427,P046,126.25,6,2021-03-08,Offline
T04388,C0265,P005,725.22,6,2021-03-08,Mobile
T05667,C0250,P041,1169.61,1,2021-03-08,Offline
T02803,C0448,P083,2382.44,10,2021-03-08,Mobile
T02574,C0166,P090,834.7,2,2021-03-08,Online
T03561,C0097,P042,1333.32,3,2021-03-08,Online
T06344,C0088,P004,320.43,3,2021-03-09,Mobile
T00491,C0228,P059,239.17,8,2021-03-09,Offline
T07453,C0106,P051,962.86,2,2021-03-09,Mobile
T02478,C0172,P028,2422.68,4,2021-03-09,Online
T02468,C0049,P037,267.56,4,2021-03-09,Offline
T00595,C0335,P012,2374.0,2,2021-03-09,Online
T03413,C0275,P100,183.75,9,2021-03-10,Online
T06575,C0190,P044,1838.61,4,2021-03-10,Online
T02709,C0461,P024,2030.03,6,2021-03-10,Mobile
T05238,C0370,P047,479.23,5,2021-03-10,Mobile
T00656,C0171,P060,390.28,8,2021-03-10,Mobile
T07607,C0264,P072,353.61,4,2021-03-10,Online
T06014,C0410,P055,740.49,4,2021-03-10,Mobile
T02015,C0418,P091,212.96,5,2021-03-10,Mobile
T07792,C0477,P087,290.04,6,2021-03-11,Offline
T07729,C0217,P076,1564.41,3,2021-03-11,Offline
T02300,C0144,P081,885.84,3,2021-03-11,Offline
T04588,C0309,P069,1002.51,5,2021-03-11,Online
T00780,C0448,P078,496.85,1,2021-03-12,Online
T03475,C0306,P071,1365.94,8,2021-03-12,Online
T02281,C0452,P027,656.94,6,2021-03-12,Offline
T04395,C0472,P045,2193.41,10,2021-03-12,Mobile
T07177,C0337,P091,870.59,8,2021-03-12,Online
T02865,C0072,P075,396.35,3,2021-03-12,Offline
T05881,C0194,P044,571.0,3,2021-03-12,Offline
T01981,C0289,P022,2446.89,7,2021-03-13,Offline
T00264,C0494,P020,1133.49,7,2021-03-13,Online
T06889,C0087,P029,2917.62,10,2021-03-13,Offline
T00329,C0321,P074,382.3,6,2021-03-13,Mobile
T02503,C0294,P020,1128.79,6,2021-03-13,Offline
T00142,C0113,P022,1539.58,6,2021-03-13,Offline
T00486,C0220,P029,1033.17,3,2021-03-13,Offline
T06252,C0474,P075,475.01,3,2021-03-13,Offline
T03606,C0188,P051,509.64,10,2021-03-14,Offline
T04334,C0018,P068,637.86,7,2021-03-14,Offline
T02791,C0124,P006,963.06,4,2021-03-14,Online
T05092,C0492,P094,1186.41,9,2021-03-14,Mobile
T06765,C0382,P013,1343.04,7,2021-03-15,Offline
T03387,C0214,P019,586.25,10,2021-03-15,Online
T05888,C0342,P010,1146.53,2,2021-03-15,Online
T05419,C0208,P038,363.22,3,2021-03-15,Offline
T02099,C0420,P021,336.25,4,2021-03-15,Mobile
T02914,C0377,P055,1164.32,2,2021-03-15,Offline
T06869,C0325,P049,487.79,1,2021-03-15,Online
T02340,C0108,P089,1216.91,4,2021-03-15,Offline
T02822,C0367,P019,697.13,8,2021-03-15,Mobile
T04490,C0323,P007,334.77,2,2021-03-16,Offline
T03385,C0328,P044,1904.03,10,2021-03-16,Offline
T00031,C0232,P096,1834.9,3,2021-03-16,Mobile
T02413,C0077,P050,886.15,2,2021-03-16,Offline
T06450,C0375,P053,1890.55,5,2021-03-16,Offline
T03656,C0278,P064,1863.56,8,2021-03-17,Offline
T05787,C0260,P016,1088.62,4,2021-03-17,Mobile
T06247,C0052,P070,758.91,7,2021-03-17,Online
T05679,C0124,P042,2261.63,7,2021-03-18,Online
T05990,C0104,P094,728.06,8,2021-03-18,Mobile
T05052,C0433,P064,1313.45,2,2021-03-18,Mobile
T08000,C0188,P092,979.9,1,2021-03-18,Mobile
T03324,C0475,P008,718.38,5,2021-03-18,Offline
T05249,C0037,P074,1337.09,2,2021-03-18,Mobile
T03916,C0305,P054,1773.5,6,2021-03-18,Offline
T01847,C0076,P036,1118.76,7,2021-03-18,Offline
T01794,C0341,P047,1957.89,6,2021-03-19,Mobile
T03163,C0456,P047,1965.13,7,2021-03-19,Mobile
T00213,C0041,P100,869.61,1,2021-03-19,Offline
